Date,Open ,High ,Low ,Close ,Volume
4-Jan-16,105.45,105.77,102,105.74,533337
5-Jan-16,105.27,105.85,102.11,102.23,507793
6-Jan-16,102.24,102.37,99.66,100.97,624617
7-Jan-16,95.99,100.59,95.42,95.62,730588
8-Jan-16,96.66,99.11,96.66,97.01,649036
11-Jan-16,97.64,99.17,97.19,98.75,916329
12-Jan-16,98.22,100.7,98.22,100.29,449059
13-Jan-16,100.95,101.19,97.3,97.3,578776
14-Jan-16,97.53,100.48,95.74,99.25,577103
15-Jan-16,98.36,98.36,95.36,97.13,672586
19-Jan-16,97.88,99.25,95.5,96.5,460354
20-Jan-16,95.5,98.19,93.42,97.23,671331
21-Jan-16,91.02,97.88,91.02,96.45,457107
22-Jan-16,97.76,101.97,97.52,101.97,601322
25-Jan-16,102,102,99.15,99.45,465344
26-Jan-16,99.05,103.47,96.89,97.42,609642
27-Jan-16,97.05,97.3,93.34,93.86,1225627
28-Jan-16,94,94.79,92.39,93.65,506033
29-Jan-16,94.05,97.34,94.05,97.19,598696
1-Feb-16,97.1,97.34,95.4,96.21,375171
2-Feb-16,95.87,96.04,94.28,94.66,336560
3-Feb-16,94.92,96.84,94.08,95.99,413267
4-Feb-16,96.01,97.33,95.05,96.48,366649
5-Feb-16,96.77,96.95,93.69,93.95,418239
8-Feb-16,93.81,95.7,92.05,94.7,499965
9-Feb-16,94.75,95.94,93.93,95.1,406748
10-Feb-16,95.7,96.64,94,94,395094
11-Feb-16,93.8,94.72,92.16,93.6,458527
12-Feb-16,94.1,94.7,93.01,93.85,368897
16-Feb-16,93.84,96.85,93.8,96.35,444049
17-Feb-16,96.5,98.26,95.87,98.26,413694
18-Feb-16,98,99.1,96.09,96.3,327923
19-Feb-16,96.08,96.76,95.8,95.9,313986
22-Feb-16,96.38,97.25,95.92,96.61,314574
23-Feb-16,96.25,96.6,94.25,94.3,290914
24-Feb-16,94.2,96.38,93.32,96.28,330456
25-Feb-16,95.88,96.76,95.25,96.6,250207
26-Feb-16,96.85,98.03,96.58,96.86,266298
29-Feb-16,96.85,98.23,95.94,96.82,598913
1-Mar-16,96.64,100.77,96.64,100.61,465363
2-Mar-16,100.85,100.94,99.64,100.68,304996
3-Mar-16,100.85,101.82,100.45,101.73,320824
4-Mar-16,101.65,103.75,101.37,102.99,423270
7-Mar-16,103.01,103.18,100.96,101.69,323912
8-Mar-16,101.58,101.76,100.3,100.95,289717
9-Mar-16,101.48,101.91,100.27,101.18,492723
10-Mar-16,101.29,102.24,100.15,101.14,306333
11-Mar-16,102.25,102.36,101.17,102.22,247125
14-Mar-16,102.1,102.91,101.78,102.56,227898
15-Mar-16,102.81,105.18,102.13,104.62,361368
16-Mar-16,104.7,106.31,104.35,105.41,344616
17-Mar-16,105.42,106.47,104.96,105.92,305959
18-Mar-16,105.92,106.65,105.19,105.77,387524
21-Mar-16,105.82,107.65,105.14,105.93,323025
22-Mar-16,105.96,107.29,105.21,106.55,289197
23-Mar-16,106.7,107.07,105.9,106.1,236083
24-Mar-16,106.02,106.25,104.89,105.7,235512
28-Mar-16,105.88,106.28,104.99,105.1,174737
29-Mar-16,105.54,107.79,104.8,107.72,284925
30-Mar-16,107.91,110.42,107.5,109.53,405708
31-Mar-16,109.42,109.9,108.88,109.03,234618
1-Apr-16,108.69,110.04,108.2,110.02,231095
4-Apr-16,110.47,112.19,109.75,111,338680
5-Apr-16,110.5,111.12,109.13,110.11,239832
6-Apr-16,110.2,111.08,109.2,110.88,239513
7-Apr-16,110.6,111,108.12,108.39,280155
8-Apr-16,109.34,109.77,108.17,108.57,215575
11-Apr-16,108.66,110.61,108.66,108.71,265115
12-Apr-16,109.16,110.5,108.66,110.45,248695
13-Apr-16,110.51,112.34,110.51,112.14,300039
14-Apr-16,111.75,112.39,111.13,112.2,234407
15-Apr-16,111.8,112.3,109.51,109.6,412758
18-Apr-16,109.6,109.6,106.94,107.45,456101
19-Apr-16,108.18,108.37,106.23,106.68,297166
20-Apr-16,106.84,108.09,106.06,107.05,262698
21-Apr-16,107.27,107.53,104.91,105.2,290168
22-Apr-16,105.28,106.48,104.62,105.61,308619
25-Apr-16,105.22,105.65,104.51,105.11,258105
26-Apr-16,105.3,105.3,95.51,96.11,415240
27-Apr-16,98.75,98.75,95.58,97.99,1019091
28-Apr-16,98,98.1,94.25,95.08,753120
