,Open,High,Low,Close,Volume,ADS_Index,SP500,Mkt-RF,SMB,HML,AMZN,FB,GOOGL,NFLX,NVDA,TSLA
0,105.45,105.77,102.0,105.74,533337,-0.338326044,2012.66,-1.59,-0.83,0.53,652.8125,102.735,764.385,109.665,12.6925,407.399375
1,105.27,105.85,102.11,102.23,507793,-0.322752358,2016.71,0.12,-0.22,0.01,636.715,102.5625,761.345,108.4325,12.965,402.26375
2,102.24,102.37,99.66,100.97,624617,-0.308089298,1990.26,-1.35,-0.12,0.0,629.35,102.4275,756.925,111.6625,13.0975,400.09125
3,95.99,100.59,95.42,95.62,730588,-0.29433496,1943.09,-2.44,-0.29,0.08,615.44,99.7475,743.01,116.805,12.655,393.750625
4,96.66,99.11,96.66,97.01,649036,-0.281487554,1922.03,-1.11,-0.47,-0.03,613.8875,98.4275,742.1425,113.9325,12.4425,392.0975
5,97.64,99.17,97.19,98.75,916329,-0.248492833,1923.67,-0.06,-0.65,0.34,611.9825,97.4075,730.655,113.7225,12.2925,388.441875
6,98.22,100.7,98.22,100.29,449059,-0.23926260800000002,1938.68,0.71,-0.4,-0.77,619.5875,98.6625,740.2075,116.2475,12.2075,393.67625
7,100.95,101.19,97.3,97.3,578776,-0.230815095,1890.28,-2.67,-0.7,0.78,601.415,97.6925,734.695,111.1625,12.1875,386.24125
8,97.53,100.48,95.74,99.25,577103,-0.22314919800000002,1921.84,1.65,-0.01,-0.41,588.115,96.135,723.73,105.685,12.0825,378.41625
9,98.36,98.36,95.36,97.13,672586,-0.216263919,1880.33,-2.14,0.42,-0.21,580.495,95.6525,714.04,104.7575,12.06,373.73625
10,97.88,99.25,95.5,96.5,460354,-0.198060905,1881.33,-0.2,-1.34,-0.07,576.6125,95.3775,719.57,111.835,12.19,375.84875
11,95.5,98.19,93.42,97.23,671331,-0.19744686,1859.33,-0.94,1.85,-1.24,566.1575,93.48,710.6275,108.5975,12.1725,369.715625
12,91.02,97.88,91.02,96.45,457107,-0.198680208,1868.99,0.45,-0.49,0.01,572.015,94.34,722.4475,104.855,12.21,373.414375
13,97.76,101.97,97.52,101.97,601322,-0.20176111,1906.9,2.08,0.22,-0.19,591.7025,96.575,743.2575,102.355,12.1425,383.4725
14,102.0,102.0,99.15,99.45,465344,-0.22126330600000002,1877.08,-1.71,-0.37,-0.98,598.705,97.8975,740.6775,99.95,12.125,384.3075
15,99.05,103.47,96.89,97.42,609642,-0.229753688,1903.63,1.52,0.38,1.22,597.3,96.8175,733.28,97.5,12.27,381.224375
16,97.05,97.3,93.34,93.86,1225627,-0.238939663,1882.95,-1.11,-0.54,1.72,594.035,101.1575,731.7875,94.5075,12.53,380.371875
17,94.0,94.79,92.39,93.65,506033,-0.248822428,1893.36,0.49,-0.47,1.26,583.265,107.185,741.2675,92.6275,12.48,381.08625
18,94.05,97.34,94.05,97.19,598696,-0.259403267,1940.24,2.57,0.46,0.37,573.125,110.5725,755.7825,92.7,12.3875,383.045
19,97.1,97.34,95.4,96.21,375171,-0.295673406,1939.38,-0.04,-0.21,-0.96,579.3275,113.5375,794.1675,93.1625,12.315,395.04875
20,95.87,96.04,94.28,94.66,336560,-0.309383393,1903.03,-2.0,-0.03,-0.34,560.6875,114.97,795.1875,93.5825,12.345,391.106875
21,94.92,96.84,94.08,95.99,413267,-0.323308298,1912.53,0.46,-0.32,0.44,541.0125,113.29,765.1725,90.49,12.3325,377.49125
22,96.01,97.33,95.05,96.48,366649,-0.33744993100000004,1915.45,0.27,0.2,0.32,529.4475,111.3875,739.745,89.2425,12.345,367.455625
23,96.77,96.95,93.69,93.95,418239,-0.35181013200000005,1880.05,-2.06,-1.1,1.75,516.0075,106.7325,715.0675,85.4875,12.27,355.82375
24,93.81,95.7,92.05,94.7,499965,-0.39550243,1853.44,-1.51,-0.02,0.9,487.57,100.7425,694.5425,82.225,12.305,341.27
25,94.75,95.94,93.93,95.1,406748,-0.409559601,1852.21,-0.1,-0.47,-0.29,486.095,99.73,702.6075,84.735,12.375,343.291875
26,95.7,96.64,94.0,94.0,395094,-0.42336707700000004,1851.86,0.01,-0.05,-0.56,494.16,101.31,711.5725,89.0275,12.495,349.0175
27,93.8,94.72,92.16,93.6,458527,-0.436926652,1829.08,-1.17,0.5,-1.47,496.35,101.7425,701.675,86.0375,12.4925,346.45125
28,94.1,94.7,93.01,93.85,368897,-0.45024009200000004,1864.78,1.98,-0.54,1.14,509.045,102.5,709.1225,87.355,12.36,352.005625
29,93.84,96.85,93.8,96.35,444049,-0.500189847,1895.58,1.78,0.55,-0.56,519.955,102.435,717.9525,88.63,12.3625,357.243125
30,96.5,98.26,95.87,98.26,413694,-0.511266954,1926.82,1.75,-0.05,-0.63,529.0675,103.42,726.3575,92.56,12.6725,362.85125
31,98.0,99.1,96.09,96.3,327923,-0.521712617,1917.83,-0.51,0.0,0.21,531.0725,104.53,726.1875,93.0425,12.635,363.708125
32,96.08,96.76,95.8,95.9,313986,-0.531528193,1917.78,0.06,0.43,-0.62,527.5775,103.845,719.1525,89.645,12.48,360.055
33,96.38,97.25,95.92,96.61,314574,-0.557360844,1945.5,1.43,-0.27,0.24,550.5125,106.4875,729.34,90.92,12.3475,369.315
34,96.25,96.6,94.25,94.3,290914,-0.56522398,1921.27,-1.22,0.47,-0.52,553.2675,106.0475,722.1175,90.35,12.42,367.945625
35,94.2,96.38,93.32,96.28,330456,-0.5728645410000001,1929.8,0.53,0.68,-0.32,548.5275,105.595,715.1175,89.8375,12.445,364.769375
36,95.88,96.76,95.25,96.6,250207,-0.58028352,1951.7,1.1,-0.43,0.23,553.42,107.245,723.4275,92.86,12.34,369.238125
37,96.85,98.03,96.58,96.86,266298,-0.5874818820000001,1948.05,-0.01,0.82,0.26,556.9375,108.1475,729.24,95.4225,12.5,372.436875
38,96.85,98.23,95.94,96.82,598913,-0.6075147160000001,1932.23,-0.69,0.66,0.26,554.96,107.41,721.41,94.5125,12.655,369.573125
39,96.64,100.77,96.64,100.61,465363,-0.6139050460000001,1978.35,2.34,-0.64,0.3,569.655,108.7725,731.8775,96.5525,12.63,376.714375
40,100.85,100.94,99.64,100.68,304996,-0.620880499,1986.45,0.54,0.5,0.71,580.3125,109.905,739.315,97.7525,12.65,381.82125
41,100.85,101.82,100.45,101.73,320824,-0.627722431,1993.4,0.51,0.44,0.64,578.145,109.64,735.3725,97.39,12.74,380.136875
42,101.65,103.75,101.37,102.99,423270,-0.634431731,1999.99,0.37,0.27,0.28,576.5725,109.0425,730.8,100.085,12.845,379.125
43,103.01,103.18,100.96,101.69,323912,-0.65321156,2001.76,0.21,1.21,0.54,566.76,106.5625,718.16,98.3925,12.8525,372.46875
44,101.58,101.76,100.3,100.95,289717,-0.65824575,1979.26,-1.27,-1.14,-0.49,561.3475,105.6925,711.725,96.33,12.7975,368.77375
45,101.48,101.91,100.27,101.18,492723,-0.662559138,1989.26,0.5,0.04,0.38,560.0825,106.7275,719.8275,97.065,12.7175,370.925625
46,101.29,102.24,100.15,101.14,306333,-0.666152285,1989.57,-0.11,-0.81,0.63,558.945,107.38,730.32,97.63,12.6625,373.56875
47,102.25,102.36,101.17,102.22,247125,-0.669025658,2022.19,1.69,0.27,0.19,566.3275,108.745,740.805,97.9175,12.735,378.44875
48,102.1,102.91,101.78,102.56,227898,-0.673361614,2019.64,-0.12,-0.07,-0.87,570.8775,109.3375,747.4275,98.0075,12.755,381.4125
49,102.81,105.18,102.13,104.62,361368,-0.6735530959999999,2015.93,-0.36,-1.43,0.67,573.885,109.99,748.4675,97.55,12.685,382.473125
50,104.7,106.31,104.35,105.41,344616,-0.6731889529999999,2027.22,0.63,0.1,-0.04,572.18,111.405,753.15,98.475,12.57,383.8025
51,105.42,106.47,104.96,105.92,305959,-0.672269137,2040.59,0.72,0.84,0.58,565.2575,111.76,759.35,100.1575,12.5175,384.13125
52,105.92,106.65,105.19,105.77,387524,-0.67079353,2049.58,0.54,0.34,-0.19,555.455,111.3475,757.8425,101.16,12.54,381.45125
53,105.82,107.65,105.14,105.93,323025,-0.662897703,2051.6,0.1,-0.2,-0.31,550.385,111.665,758.1925,101.0,12.475,380.310625
54,105.96,107.29,105.21,106.55,289197,-0.65882377,2049.8,-0.05,-0.01,-0.45,553.545,111.7775,760.3875,100.3,12.4825,381.5025
55,106.7,107.07,105.9,106.1,236083,-0.65395177,2036.71,-0.86,-1.17,-0.09,565.3875,112.5025,760.1025,99.6625,12.4375,384.41375
56,106.02,106.25,104.89,105.7,235512,-0.6482810720000001,2035.94,0.0,0.47,-0.06,575.1075,112.4975,753.88,98.335,12.455,384.955
57,105.88,106.28,104.99,105.1,174737,-0.617703527,2037.05,0.04,-0.03,0.14,581.7675,113.6575,755.1125,99.8125,12.5725,387.5875
58,105.54,107.79,104.8,107.72,284925,-0.608458788,2055.01,1.07,1.77,-1.18,586.3375,115.01,758.505,102.79,12.72,390.660625
59,107.91,110.42,107.5,109.53,405708,-0.598733466,2063.95,0.41,-0.29,0.14,598.7075,115.5975,769.7775,103.28,12.605,396.840625
60,109.42,109.9,108.88,109.03,234618,-0.588526297,2059.74,-0.11,0.44,-0.48,596.2425,111.2575,765.0925,102.36,12.35,393.738125
61,108.69,110.04,108.2,110.02,231095,-0.577835953,2072.78,0.64,-0.25,-0.62,593.95,114.765,763.6875,104.0525,12.245,394.11375
62,110.47,112.19,109.75,111.0,338680,-0.548218099,2066.13,-0.41,-0.25,-0.74,595.8375,114.005,768.22,104.825,12.1825,395.721875
63,110.5,111.12,109.13,110.11,239832,-0.539698563,2045.17,-0.94,-0.08,-0.36,589.0275,112.22,758.795,104.44,12.25,391.120625
64,110.2,111.08,109.2,110.88,239513,-0.532076147,2066.66,1.14,0.17,-0.82,595.0325,113.11,764.7125,105.3075,12.3975,394.540625
65,110.6,111.0,108.12,108.39,280155,-0.525349861,2041.91,-1.23,-0.05,-0.35,595.585,113.6525,763.0275,104.8225,12.52,394.271875
66,109.34,109.77,108.17,108.57,215575,-0.5195188279999999,2047.6,0.29,0.02,0.68,593.7925,112.2675,761.5925,104.25,12.7325,392.975625
67,108.66,110.61,108.66,108.71,265115,-0.506873407,2041.99,-0.28,-0.1,0.95,597.7325,109.8075,761.715,103.57,12.7025,393.20625
68,109.16,110.5,108.66,110.45,248695,-0.503873115,2061.72,0.99,-0.06,0.85,599.205,109.7,760.07,105.3275,12.9475,393.575625
69,110.51,112.34,110.51,112.14,300039,-0.501538345,2082.42,1.23,0.84,0.35,610.1525,110.2125,770.615,109.0575,12.905,400.009375
70,111.75,112.39,111.13,112.2,234407,-0.499868792,2082.78,0.03,-0.28,0.18,618.5775,110.9075,775.19,110.135,12.9675,403.7025
71,111.8,112.3,109.51,109.6,412758,-0.49886424100000004,2080.73,-0.04,0.33,-0.32,622.8175,110.1425,777.6175,110.905,12.815,405.370625
72,109.6,109.6,106.94,107.45,456101,-0.499549807,2094.34,0.65,0.09,-0.19,630.085,109.9625,783.31,103.5675,12.6875,406.73125
73,108.18,108.37,106.23,106.68,297166,-0.500580829,2100.8,0.29,-0.36,1.48,631.14,113.6075,782.065,99.15,12.505,406.490625
74,106.84,108.09,106.06,107.05,262698,-0.501942904,2102.4,0.15,-0.1,0.54,629.9825,112.3675,776.07,95.41,12.5725,403.4575
75,107.27,107.53,104.91,105.2,290168,-0.503636211,2091.48,-0.47,0.11,-0.59,628.555,112.1825,752.18,95.7175,12.8,397.15875
76,105.28,106.48,104.62,105.61,308619,-0.5056609679999999,2091.58,0.12,0.82,0.49,620.82,110.6625,740.2325,95.37,13.175,391.77125
77,105.22,105.65,104.51,105.11,258105,-0.5137709220000001,2087.79,-0.24,-0.58,-0.17,622.535,110.0825,739.805,95.145,13.3925,391.891875
78,105.3,105.3,95.51,96.11,415240,-0.516722652,2091.7,0.29,0.65,0.78,619.565,108.815,733.5275,92.69,13.3875,388.649375
79,98.75,98.75,95.58,97.99,1019091,-0.5195615060000001,2095.15,0.21,0.09,0.68,611.795,113.1225,722.7425,91.6725,13.51,384.833125
80,98.0,98.1,94.25,95.08,753120,-0.522287852,2075.81,-0.96,-0.15,0.05,642.3875,118.455,717.235,91.1275,13.6575,392.30125
81,95.1,95.1,92.51,93.6,626257,-0.524902044,2065.3,-0.5,-0.14,0.38,666.3625,117.035,708.5675,89.885,13.7225,395.4625
82,96.0,96.0,92.4,93.82,444603,-0.532262204,2081.43,0.78,-0.01,-0.36,673.47,117.845,712.4175,91.6825,13.735,398.85375
83,93.82,95.74,93.1,95.16,525524,-0.533542336,2063.37,-1.05,-0.66,-0.49,675.885,117.6425,710.3725,92.1775,13.8775,399.019375
84,95.55,95.9,93.82,94.35,368348,-0.5336358760000001,2051.12,-0.66,-0.15,0.06,668.98,117.5025,709.25,91.0775,13.875,396.7025
85,94.35,94.39,92.68,93.21,329074,-0.532542835,2050.63,-0.08,-0.5,0.09,665.715,118.1025,715.785,90.46,13.71,397.515625
86,93.24,93.48,91.85,92.67,407762,-0.530263072,2057.14,0.38,0.05,0.24,668.16,118.4275,718.685,89.82,13.83,398.773125
87,92.95,93.77,92.59,92.65,300696,-0.516472394,2058.69,0.05,0.36,-1.48,679.085,119.3625,728.73,90.8525,13.9775,404.5075
88,93.05,93.57,92.11,93.3,310689,-0.510244157,2084.39,1.26,-0.4,0.47,693.075,119.915,735.335,91.74,14.31,410.01625
89,93.11,93.57,92.23,92.36,264027,-0.503456516,2064.46,-0.89,-0.36,0.78,708.45,120.06,734.4225,91.2775,14.3525,413.5525
90,92.5,92.99,89.47,90.02,704018,-0.49610859,2064.11,-0.11,-0.6,0.15,716.29,120.0025,730.1475,88.35,14.3425,413.6975
